timestamp,processing time,predicted pt
124,5,3.288874168
124,4,3.288874168
124,3,3.288874168
124,5,3.288874168
146,13,18.61225759
146,15,8.431644619
146,3,3.543292268
164,3,23.64479933
167,11,2.626176496
167,11,2.537477922
170,1,2.626176496
170,2,4.994310396
180,20,7.047062005
180,1,2.626176496
195,3,2.626176496
195,3,2.626176496
195,2,1.763517455
196,1,2.626176496
196,1,2.626176496
196,1,2.626176496
199,6,3.948270204
200,3,2.753393673
200,3,2.626176496
204,7,4.687313719
212,1,2.537477922
212,1,2.537477922
212,1,2.537477922
216,2,2.537477922
216,5,2.428994417
216,1,2.567973555
216,18,14.99354684
216,5,2.428994417
223,5,2.537477922
223,8,3.948270204
223,8,3.948270204
223,14,7.047062005
242,1,2.537477922
252,4,7.047062005
279,4,4.190350198
283,1,2.537477922
284,1,2.626176496
284,5,2.736581766
284,5,14.99354684
286,5,7.047062005
293,1,2.567973555
293,4,4.687313719
293,1,1.800961841
293,1,2.537477922
293,1,2.537477922
293,1,2.537477922
293,1,2.537477922
293,7,2.567973555
293,4,4.687313719
293,1,2.736581766
296,3,1.893769032
296,2,1.652504652
296,1,1.652504652
296,3,1.652504652
296,3,1.893769032
296,2,1.652504652
298,1,2.567973555
298,1,2.537477922
298,5,14.99354684
301,4,3.772552898
301,3,7.047062005
301,4,3.772552898
302,4,3.772552898
302,3,4.994310396
302,3,2.626176496
328,1,18.58246893
328,1,2.477260238
332,4,10.52116377
366,10,7.592882243
367,2,2.783601256
367,4,2.507755872
367,2,2.783601256
367,8,4.934092712
367,8,8.163411325
367,10,4.934092712
367,2,2.783601256
376,32,12.94858542
376,32,9.002173701
376,2,2.626176496
376,2,2.626176496
380,7,4.994310396
380,7,2.753393673
380,7,4.994310396
381,6,2.753393673
381,61,30.91813053
381,6,2.567973555
381,6,4.687313719
381,8,4.34479381
396,1,2.44682224
415,1,2.44682224
415,3,2.477317874
415,1,2.477317874
415,4,2.477317874
415,4,2.44682224
415,2,2.477317874
438,9,2.577862099
438,9,4.758189463
449,2,2.577862099
449,1,2.44682224
449,2,2.477317874
450,1,2.577788304
450,1,2.577788304
450,1,2.44682224
450,2,2.577788304
450,1,2.44682224
450,6,4.758189463
465,2,14.94515865
474,11,14.94515865
474,4,6.422993259
476,1,2.44682224
481,1,2.577788304
481,11,6.998673812
506,1,2.551764782
506,1,1.293199071
507,1,1.893769032
508,1,2.626176496
508,1,2.537477922
521,4,14.99354684
521,4,2.537477922
521,1,1.893769032
521,1,2.537477922
521,7,2.537477922
521,3,2.537477922
522,2,2.537477922
522,5,2.537477922
522,4,2.537477922
522,5,2.537477922
522,5,2.626176496
522,5,2.537477922
522,3,2.537477922
522,3,2.537477922
554,10,4.994310396
554,1,1.203743647
554,1,1.203743647
554,1,2.626176496
554,1,2.626176496
554,1,1.203743647
563,27,26.20832872
567,1,4.994310396
600,3,2.537477922
600,17,14.99354684
604,1,2.537477922
604,1,2.382757815
604,1,2.537477922
604,1,2.567973555
605,1,2.626176496
605,11,7.047062005
606,10,4.994310396
607,10,4.994310396
616,1,4.687313719
616,1,2.626176496
617,1,4.687313719
617,6,4.994310396
617,4,4.687313719
617,4,4.687313719
617,4,4.687313719
624,8,4.994310396
633,1,2.626176496
633,2,2.626176496
633,1,1.812720193
634,2,2.537477922
634,1,2.626176496
634,1,2.567973555
634,1,7.047062005
660,1,1.652152675
660,10,14.99354684
664,6,14.99354684
670,6,2.753393673
670,2,3.772552898
670,2,3.772552898
670,4,7.047062005
670,6,2.753393673
670,6,4.994310396
682,1,2.626176496
682,1,2.626176496
686,3,2.537477922
703,13,14.99354684
710,17,14.99354684
715,7,14.99354684
715,1,2.537477922
715,13,4.994310396
715,1,2.567973555
715,1,2.537477922
